row,name,light_years_from_earth,stellar_magnitude,discovery_date,planet_type,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius,mass,radius,orbit_radius
1107,K2-15 b,1634.0,14.663,2015,Neptune-like,11.8 days,0,K2-165,Transit,89.00200000000002,0.0,12h19m36.08s,+00d58m06.2s,5185.0,0.83,0.8,6.71,0.221,0.091
1108,K2-160 b,1038.0,12.649,2018,Neptune-like,3.7 days,0,K2-166,Transit,,0.0,12h20m45.19s,+02d16m56.8s,,1.07,,10.2,0.284,0
1109,K2-161 b,3070.0,12.630999999999998,2018,Neptune-like,9.3 days,0,K2-167,Transit,88.604,0.0,22h26m18.19s,-18d00m40.2s,5908.0,1.02,1.83,31.1,0.546,0
1110,K2-16 b,1103.0,14.67,2015,Super Earth,7.6 days,0,K2-168,Transit,89.4,0.0,22h12m26.37s,-16d20m30.3s,5502.7,0.88,0.83,4.74,2.02,0.0667
1111,K2-16 c,1103.0,14.67,2015,Neptune-like,19.1 days,0,K2-169,Transit,87.837,0.0,22h28m10.63s,-14d35m57.8s,5548.0,0.99,0.92,6.99,0.227,0.1229
1112,K2-170 b,1296.0,12.633,2018,Super Earth,7.6 days,0,K2-17,Transit,,0.0,11h53m19.15s,+06d24m44.1s,4320.0,0.71,0.66,2.6,1.418,0
1113,K2-170 c,1296.0,12.633,2018,Super Earth,12.4 days,0,K2-170,Transit,87.98899999999998,0.0,22h21m48.17s,-14d35m35.8s,5748.0,0.96,0.98,3.9,1.802,0
1114,K2-171 b,2011.0,12.66,2018,Neptune-like,5.6 days,0,K2-170,Transit,88.66799999999998,0.0,22h21m48.17s,-14d35m35.8s,5748.0,0.96,0.98,7.69,0.24,0
1115,K2-172 b,820.0,12.438,2018,Super Earth,14.3 days,0,K2-171,Transit,85.04799999999999,0.0,22h09m21.80s,-13d25m43.9s,5250.0,0.89,1.72,3.42,1.666,0
1116,K2-172 c,820.0,12.438,2018,Neptune-like,29.6 days,0,K2-172,Transit,88.914,0.0,22h21m14.01s,-12d33m24.8s,5569.0,0.93,0.87,10.4,0.286,0
1117,K2-173 b,751.0,12.403,2018,Super Earth,5.9 days,0,K2-172,Transit,89.49700000000001,0.0,22h21m14.01s,-12d33m24.8s,5569.0,0.93,0.87,3.22,1.608,0
1118,K2-174 b,327.0,12.424,2018,Neptune-like,19.6 days,0,K2-173,Transit,87.82600000000002,0.0,04h01m29.99s,+15d37m30.1s,5580.0,0.88,0.84,7.27,0.232,0.126
1119,K2-175 b,812.0,10.836,2018,Super Earth,9.5 days,0,K2-174,Transit,89.95,0.0,04h03m10.28s,+16d20m50.8s,4455.0,0.7,0.68,4.81,2.038,0
1120,K2-176 b,812.0,12.893,2018,Super Earth,5.3 days,0,K2-175,Transit,87.494,0.0,03h30m00.86s,+17d35m03.1s,5909.0,1.09,1.42,2.83,1.491,0
1121,K2-177 b,1628.0,12.645,2018,Neptune-like,14.2 days,0,K2-176,Transit,88.06299999999996,0.0,03h53m04.60s,+17d54m25.5s,5428.0,0.94,0.86,5.13,2.116,0
1122,K2-178 b,705.0,12.403,2018,Neptune-like,8.7 days,0,K2-177,Transit,87.22,0.0,03h40m55.10s,+20d44m09.9s,6063.0,1.21,1.21,12.4,0.317,0
1123,K2-179 b,626.0,12.956,2018,Neptune-like,5.2 days,0,K2-178,Transit,88.611,0.0,03h31m33.33s,+22d26m05.5s,5525.0,0.95,0.89,6.86,0.224,0
1124,K2-17 b,410.0,13.519,2015,Neptune-like,18 days,0.18,K2-179,Transit,88.755,0.0,03h55m11.26s,+23d45m24.5s,5015.0,0.82,0.77,5.6,2.23,0.119
1125,K2-180 b,667.0,12.601,2018,Neptune-like,8.9 days,0,K2-18,Transit,,4.11,11h30m14.51s,+07d35m18.2s,3457.0,0.36,0.41,5.95,0.206,0.0753
1126,K2-181 b,1190.0,12.749,2018,Neptune-like,6.9 days,0,K2-18,Radial Velocity,,0.0,11h30m14.51s,+07d35m18.2s,3457.0,0.36,0.41,8.45,0.253,0.0706
1127,K2-182 b,509.0,11.997,2018,Neptune-like,4.7 days,0,K2-180,Transit,,0.0,08h25m51.34s,+10d14m49.1s,5358.0,0.72,0.72,8.05,0.246,0.0529
1128,K2-183 b,1082.0,12.845999999999998,2018,Neptune-like,0.5 days,0,K2-181,Transit,,0.0,08h30m12.97s,+10d54m37.1s,5608.0,0.99,1.07,7.27,0.232,0
1129,K2-183 c,1082.0,12.845999999999998,2018,Neptune-like,10.8 days,0,K2-182,Transit,,0.0,08h40m43.28s,+10d58m58.6s,5165.0,0.88,0.8,8.6,0.256,0.0932
1130,K2-183 d,1082.0,12.845999999999998,2018,Neptune-like,22.6 days,0,K2-183,Transit,25.034,0.0,08h20m01.72s,+14d01m10.1s,5519.0,0.93,0.97,8.55,0.255,0.1527
1131,K2-184 b,247.0,10.345,2018,Super Earth,17 days,0,K2-183,Transit,,0.0,08h20m01.72s,+14d01m10.1s,5519.0,0.93,0.97,3.02,1.55,0.1229
1132,K2-185 b,882.0,12.215,2018,Super Earth,10.6 days,0,K2-183,Transit,,0.0,08h20m01.72s,+14d01m10.1s,5519.0,0.93,0.97,2.28,1.313,0
1133,K2-186 b,1089.0,12.307,2018,Neptune-like,41.5 days,0,K2-184,Transit,,0.0,08h36m33.63s,+14d27m43.0s,5220.0,0.86,0.78,10.2,0.283,0
1134,K2-187 b,1088.0,13.081,2018,Super Earth,0.8 days,0,K2-185,Transit,88.932,0.0,08h41m02.32s,+14d41m25.2s,5722.0,0.98,0.91,2.24,1.3,0.0164
1135,K2-187 c,1088.0,13.081,2018,Super Earth,2.9 days,0,K2-186,Transit,89.524,0.0,09h01m20.39s,+18d49m31.6s,5784.0,1.02,0.98,3.89,1.8,0.0392
1136,K2-187 d,1088.0,13.081,2018,Neptune-like,7.1 days,0,K2-187,Transit,,0.0,08h50m05.67s,+23d11m33.4s,5484.0,0.98,0.92,10.2,0.283,0.072
1137,K2-187 e,1088.0,13.081,2018,Neptune-like,13.6 days,0,K2-187,Transit,,0.0,08h50m05.67s,+23d11m33.4s,5484.0,0.98,0.92,6.26,0.212,0.1106
1138,K2-188 b,1477.0,12.646,2018,Super Earth,1.7 days,0,K2-187,Transit,,0.0,08h50m05.67s,+23d11m33.4s,5484.0,0.98,0.92,2.39,1.35,0.0289
1139,K2-188 c,1477.0,12.646,2018,Neptune-like,7.8 days,0,K2-187,Transit,,0.0,08h50m05.67s,+23d11m33.4s,5484.0,0.98,0.92,8.4,0.252,0.0785
1140,K2-189 b,796.0,12.399,2018,Super Earth,2.6 days,0,K2-188,Transit,,0.0,08h39m15.27s,+23d21m26.9s,5977.0,1.06,1.19,2.92,1.52,0.0361
1141,K2-189 c,796.0,12.399,2018,Neptune-like,6.7 days,0,K2-188,Transit,,0.0,08h39m15.27s,+23d21m26.9s,5977.0,1.06,1.19,6.8,0.223,0.068
1142,K2-18 b,124.0,13.496,2015,Super Earth,32.9 days,0.2,K2-189,Transit,,0.0,13h34m29.11s,-15d02m10.9s,5519.0,0.94,0.87,8.92,0.211,0.1429
1143,K2-18 c,124.0,13.496,2017,Neptune-like,9 days,< 0.47,K2-189,Transit,,0.0,13h34m29.11s,-15d02m10.9s,5519.0,0.94,0.87,7.51,0.236,0.06
1144,K2-190 b,527.0,11.138,2018,Super Earth,10.1 days,0,K2-19,Transit,89.47,0.0,11h39m50.47s,+00d36m12.9s,5430.0,0.93,0.86,2.41,1.357,0
1145,K2-190 c,527.0,11.138,2018,Super Earth,21.6 days,0,K2-19,Transit,87.99,0.0,11h39m50.47s,+00d36m12.9s,5430.0,0.93,0.86,1.34,1.093,0
1146,K2-191 b,945.0,13.258,2018,Super Earth,2.9 days,0,K2-19,Transit,85.83,0.0,11h39m50.47s,+00d36m12.9s,5430.0,0.93,0.86,3.12,1.579,0
1147,K2-192 b,731.0,12.704,2018,Super Earth,4.2 days,0,K2-190,Transit,88.35700000000001,0.0,13h41m27.24s,-13d09m39.2s,5631.0,0.9,0.91,2.92,1.52,0.049
1148,K2-193 b,1360.0,13.251,2018,Neptune-like,14.8 days,0,K2-190,Transit,88.977,0.0,13h41m27.24s,-13d09m39.2s,5631.0,0.9,0.91,14.8,0.352,0.1184
1149,K2-194 b,2090.0,12.908,2018,Neptune-like,39.7 days,0,K2-191,Transit,87.051,0.0,13h26m33.40s,-12d48m23.6s,5176.0,0.9,0.84,12.9,0.325,0
1150,K2-195 b,1037.0,12.497,2018,Neptune-like,15.9 days,0,K2-192,Transit,,0.0,13h46m19.75s,-11d33m22.5s,5222.0,0.9,0.81,9.96,0.279,0.1208
1151,K2-195 c,1037.0,12.497,2018,Neptune-like,28.5 days,0,K2-193,Transit,,0.0,13h40m56.89s,-11d00m33.5s,5817.0,1.01,0.98,7.16,0.23,0
1152,K2-196 b,1938.0,12.06,2018,Neptune-like,48.3 days,0,K2-194,Transit,89.065,0.0,13h38m26.14s,-08d55m37.7s,5979.0,1.11,1.28,12.6,0.321,0
1153,K2-197 b,814.0,12.157,2018,Neptune-like,8.4 days,0,K2-195,Transit,,0.0,13h19m19.56s,-08d30m34.1s,5713.0,0.94,0.99,7.08,0.228,0.0806
1154,K2-198 b,362.0,10.970999999999998,2018,Neptune-like,17 days,0,K2-195,Transit,88.537,0.0,13h19m19.56s,-08d30m34.1s,5713.0,0.94,0.99,16.3,0.374,0
1155,K2-198 c,362.0,10.970999999999998,2019,Super Earth,3.4 days,0,K2-196,Transit,88.274,0.0,13h21m49.52s,-08d28m18.2s,6045.0,1.16,1.54,2.61,1.423,0
1156,K2-198 d,362.0,10.970999999999998,2019,Neptune-like,7.5 days,0,K2-197,Transit,,0.0,13h29m34.48s,-07d22m26.4s,5667.0,1.0,0.93,6.52,0.218,0
1157,K2-199 b,352.0,12.289,2018,Super Earth,3.2 days,0,K2-198,Transit,88.904,0.0,13h15m22.51s,-06d27m53.6s,5212.9,0.8,0.76,4.16,1.87,0.0385
1158,K2-199 c,352.0,12.289,2018,Neptune-like,7.4 days,0,K2-198,Transit,86.494,0.0,13h15m22.51s,-06d27m53.6s,5212.9,0.8,0.76,8.15,0.248,0.0668
1159,K2-19 b,953.0,13.0,2015,Neptune-like,7.9 days,0.12,K2-198,Transit,89.86,0.0,13h15m22.51s,-06d27m53.6s,5212.9,0.8,0.76,28.5,0.691,0.074
1160,K2-19 c,953.0,13.0,2015,Neptune-like,11.9 days,0,K2-199,Transit,,0.0,13h55m36.41s,-06d08m10.1s,4648.0,0.73,0.68,15.9,0.434,0.0971
1161,K2-19 d,953.0,13.0,2016,Super Earth,2.5 days,0,K2-199,Transit,,0.0,13h55m36.41s,-06d08m10.1s,4648.0,0.73,0.68,14,1.14,0.0344
1162,K2-200 b,604.0,12.459,2018,Super Earth,2.8 days,0,K2-200,Transit,87.96799999999998,0.0,13h29m00.38s,-04d36m36.8s,5233.0,0.86,0.79,2.43,1.364,0
1163,K2-201 b,649.0,12.809,2018,Super Earth,1.1 days,0,K2-201,Transit,84.414,0.0,19h34m14.58s,-23d07m51.7s,5507.0,0.96,0.88,2.54,1.4,0
1164,K2-201 c,649.0,12.809,2018,Neptune-like,22.8 days,0,K2-201,Transit,89.272,0.0,19h34m14.58s,-23d07m51.7s,5507.0,0.96,0.88,10.8,0.293,0
1165,K2-202 b,988.0,13.297,2018,Neptune-like,3.4 days,0,K2-202,Transit,87.67200000000004,0.0,18h53m03.43s,-22d24m25.3s,5491.0,0.97,0.91,5.91,0.205,0
1166,K2-203 b,545.0,12.353,2018,Super Earth,9.7 days,0,K2-203,Transit,88.43,0.0,00h51m05.70s,-01d11m45.2s,5000.0,0.79,0.76,2.45,1.371,0
1167,K2-204 b,1914.0,13.01,2018,Neptune-like,7.1 days,0,K2-204,Transit,87.649,0.0,01h09m31.81s,-00d31m03.4s,5755.0,1.01,1.18,9.51,0.272,0
1168,K2-205 b,1337.0,12.390999999999998,2018,Super Earth,26.7 days,0,K2-205,Transit,89.09700000000002,0.0,01h00m52.20s,+00d25m33.6s,5890.0,0.95,1.08,4.64,1.996,0
1169,K2-206 b,803.0,13.1,2018,Neptune-like,18.3 days,0,K2-206,Transit,89.11200000000002,0.0,00h45m01.52s,+00d35m35.7s,5043.0,0.79,0.76,8.22,0.249,0
1170,K2-207 b,1197.0,13.166,2018,Neptune-like,12.5 days,0,K2-207,Transit,88.62,0.0,00h46m47.93s,+00d38m26.9s,5522.0,0.94,0.93,7.3,0.232,0
1171,K2-208 b,844.0,12.503,2018,Super Earth,4.2 days,0,K2-208,Transit,88.04299999999998,0.0,01h23m06.98s,+00d53m21.0s,5582.0,0.93,0.86,3.46,1.679,0
1172,K2-209 b,250.0,11.205,2018,Terrestrial,2.1 days,0,K2-209,Transit,86.23100000000002,0.0,00h58m45.76s,+01d23m01.7s,4720.0,0.74,0.71,0.586,0.869,0
1173,K2-210 b,579.0,11.535,2018,Terrestrial,0.6 days,0,K2-21,Transit,88.98,0.0,22h41m12.88s,-14d29m20.4s,4222.06,0.68,0.65,0.474,0.819,0
1174,K2-211 b,895.0,13.075,2018,Super Earth,0.7 days,0,K2-21,Transit,88.85,0.0,22h41m12.88s,-14d29m20.4s,4222.06,0.68,0.65,2.46,1.375,0
1175,K2-212 b,357.0,13.1,2018,Neptune-like,9.8 days,0,K2-210,Transit,84.105,0.0,01h10m33.82s,+01d34m41.8s,5396.0,0.91,0.85,6.9,0.225,0.0785
1176,K2-213 b,1285.0,11.803,2018,Super Earth,8.1 days,0,K2-211,Transit,81.569,0.0,01h24m25.43s,+01d42m17.8s,5221.0,0.88,0.82,2.9,1.514,0
1177,K2-214 b,989.0,11.805,2018,Neptune-like,8.6 days,0,K2-212,Transit,,0.0,01h13m41.62s,+03d05m49.0s,4272.0,0.67,0.65,6.48,0.217,0.0834
1178,K2-215 b,1333.0,12.986,2018,Neptune-like,8.3 days,0,K2-213,Transit,87.86200000000002,0.0,00h52m33.67s,+03d30m27.7s,5794.0,1.07,1.2,5.16,2.124,0
1179,K2-216 b,378.0,12.476,2018,Super Earth,2.2 days,0,K2-214,Transit,,0.0,00h59m30.26s,+04d13m40.1s,5854.0,1.05,1.27,8,1.75,0.028
1180,K2-217 b,1259.0,12.187,2018,Neptune-like,14.1 days,0,K2-215,Transit,88.984,0.0,01h13m52.82s,+06d07m26.0s,5704.0,1.0,0.97,12.5,0.319,0
1181,K2-218 b,1300.0,12.876,2018,Neptune-like,8.7 days,0,K2-216,Transit,86.9,8.2,00h45m55.26s,+06d20m49.1s,4503.0,0.7,0.72,7.13,0.229,0
1182,K2-219 b,1071.0,12.09,2018,Super Earth,3.9 days,0,K2-217,Transit,88.04299999999998,0.0,00h45m11.61s,+06d28m53.6s,5967.0,1.1,1.33,2.38,1.348,0
1183,K2-219 c,1071.0,12.09,2018,Super Earth,6.7 days,0,K2-218,Transit,88.45299999999996,0.0,00h51m14.32s,+06d50m47.3s,5757.0,1.05,1.01,2.66,1.438,0
1184,K2-219 d,1071.0,12.09,2018,Neptune-like,11.1 days,0,K2-219,Transit,86.795,0.0,00h51m22.87s,+08d52m03.5s,5753.0,1.02,1.19,7.16,0.23,0
1185,K2-21 b,274.0,12.85,2015,Neptune-like,9.3 days,0.1,K2-219,Transit,87.26899999999998,0.0,00h51m22.87s,+08d52m03.5s,5753.0,1.02,1.19,4.04,1.84,0.076
1186,K2-21 c,274.0,12.85,2015,Super Earth,15.5 days,0.21,K2-219,Transit,88.287,0.0,00h51m22.87s,+08d52m03.5s,5753.0,1.02,1.19,6.76,0.222,0.107
1187,K2-220 b,766.0,11.89,2018,Neptune-like,13.7 days,0,K2-22,Transit,,0.0,11h17m55.88s,+02d37m08.7s,3830.0,0.6,0.57,6.3,0.213,0.1104
1188,K2-221 b,1049.0,12.703,2018,Super Earth,2.4 days,0,K2-220,Transit,,0.0,00h51m04.77s,+09d31m00.5s,5660.0,0.96,1.02,3.46,1.679,0
1189,K2-222 b,331.0,9.543,2018,Neptune-like,15.4 days,0,K2-221,Transit,85.447,0.0,01h06m37.20s,+10d11m22.9s,5716.0,1.01,0.95,6.3,0.213,0.1211
1190,K2-223 b,656.0,11.431,2018,Terrestrial,0.5 days,0,K2-222,Transit,,0.0,01h05m50.95s,+11d45m12.3s,6058.0,1.0,1.09,0.64,0.89,0.0127
1191,K2-223 c,656.0,11.431,2018,Super Earth,4.6 days,0,K2-223,Transit,,0.0,12h21m13.48s,-10d16m55.3s,5835.0,1.06,0.99,3.09,1.57,0.0549
1192,K2-224 b,906.0,12.682,2018,Super Earth,4.5 days,0,K2-223,Transit,,0.0,12h21m13.48s,-10d16m55.3s,5835.0,1.06,0.99,3.05,1.56,0.0516
1193,K2-224 c,906.0,12.682,2018,Neptune-like,10.1 days,0,K2-224,Transit,,0.0,12h38m48.98s,-10d03m38.4s,5620.0,0.91,0.84,6.39,0.215,0.0886
1194,K2-225 b,1175.0,11.836,2018,Neptune-like,15.9 days,0,K2-224,Transit,,0.0,12h38m48.98s,-10d03m38.4s,5620.0,0.91,0.84,12,0.311,0.134
1195,K2-226 b,689.0,12.308,2018,Super Earth,3.3 days,0,K2-225,Transit,,0.0,12h26m09.91s,-09d37m29.3s,5742.0,1.27,1.7,2.99,1.54,0.0413
1196,K2-227 b,614.0,12.015,2018,Super Earth,13.6 days,0,K2-226,Transit,,0.0,12h14m34.98s,-09d33m45.5s,5424.0,0.88,0.91,3.41,1.666,0
1197,K2-228 b,465.0,12.995,2018,Super Earth,2.7 days,0,K2-227,Transit,88.374,0.0,12h43m47.63s,-08d28m41.7s,5673.0,0.95,0.89,1.92,1.21,0.0338
1198,K2-229 b,339.0,10.985,2018,Super Earth,0.6 days,0,K2-228,Transit,,0.0,12h29m10.75s,-06d50m03.3s,4715.0,0.71,0.65,2.49,1.14,0.0131
1199,K2-229 c,339.0,10.985,2018,Super Earth,8.3 days,0,K2-229,Transit,,0.0,12h27m29.58s,-06d43m18.7s,5315.0,0.87,0.79,21.3,2.03,0.0769
1200,K2-223 b,656.0,11.431,2018,Terrestrial,0.5 days,0,K2-229,Transit,,0.0,12h27m29.58s,-06d43m18.7s,5315.0,0.87,0.79,0.64,0.89,0.0127
1201,K2-223 c,656.0,11.431,2018,Super Earth,4.6 days,0,K2-230,Transit,,0.0,12h45m27.17s,-06d34m34.0s,5945.0,1.11,1.39,3.09,1.57,0.0549
1202,K2-224 b,906.0,12.682,2018,Super Earth,4.5 days,0,K2-231,Transit,88.6,0.0,19h16m22.04s,-15d46m16.0s,5695.0,1.01,0.95,3.05,1.56,0.0516
1203,K2-224 c,906.0,12.682,2018,Neptune-like,10.1 days,0,K2-232,Transit,89.14,0.0,04h55m03.96s,+18d39m16.3s,6154.0,1.19,1.16,6.39,0.215,0.0886
1204,K2-225 b,1175.0,11.836,2018,Neptune-like,15.9 days,0,K2-233,Transit,88.79,0.0,15h21m55.20s,-20d13m54.1s,4950.0,0.8,0.74,12,0.311,0.134
1205,K2-226 b,689.0,12.308,2018,Super Earth,3.3 days,0,K2-233,Transit,88.95,0.0,15h21m55.20s,-20d13m54.1s,4950.0,0.8,0.74,2.99,1.54,0.0413
1206,K2-227 b,614.0,12.015,2018,Super Earth,13.6 days,0,K2-233,Transit,89.35,0.0,15h21m55.20s,-20d13m54.1s,4950.0,0.8,0.74,3.41,1.666,0
1207,K2-228 b,465.0,12.995,2018,Super Earth,2.7 days,0,K2-237,Transit,84.6,0.37,16h55m04.53s,-28d42m38.0s,6099.0,1.23,1.38,1.92,1.21,0.0338
1208,K2-229 b,339.0,10.985,2018,Super Earth,0.6 days,0,K2-238,Transit,84.5,0.56,23h10m49.04s,-07d51m27.0s,5630.0,1.19,1.59,2.49,1.14,0.0131
1209,K2-229 c,339.0,10.985,2018,Super Earth,8.3 days,0,K2-239,Transit,88.99,0.0,10h42m22.63s,+04d26m28.9s,3420.0,0.4,0.36,21.3,2.03,0.0769
1210,K2-239 c,160.0,14.549,2018,Terrestrial,7.8 days,0,K2-239,Transit,88.77,0.0,10h42m22.63s,+04d26m28.9s,3420.0,0.4,0.36,0.972,1.0,0.0576
1211,K2-239 d,160.0,14.549,2018,Super Earth,10.1 days,0,K2-239,Transit,89.43,0.0,10h42m22.63s,+04d26m28.9s,3420.0,0.4,0.36,1.37,1.1,0.0685
1212,K2-240 b,228.0,13.392,2018,Super Earth,6 days,0,K2-24,Transit,,0.64,16h10m17.69s,-24d59m25.2s,5625.0,1.07,1.16,4.66,2.0,0.0513
1213,K2-240 c,228.0,13.392,2018,Super Earth,20.5 days,0,K2-24,Transit,,0.2,16h10m17.69s,-24d59m25.2s,5625.0,1.07,1.16,3.89,1.8,0.1159
1214,K2-241 b,488.0,11.97,2018,Neptune-like,26.8 days,0,K2-240,Transit,89.26,0.0,15h11m23.91s,-17d52m30.8s,3810.0,0.58,0.54,7.04,0.227,0.1567
1215,K2-242 b,358.0,16.588,2018,Neptune-like,6.5 days,0,K2-240,Transit,89.66,0.0,15h11m23.91s,-17d52m30.8s,3810.0,0.58,0.54,6.99,0.227,0.0494
1216,K2-243 b,878.0,10.97,2018,Neptune-like,11.5 days,0,K2-241,Transit,,0.0,12h04m57.45s,-06d48m17.7s,5262.0,0.71,0.75,5.35,2.17,0.1087
1217,K2-243 c,878.0,10.97,2018,Super Earth,24.9 days,0,K2-242,Transit,,0.0,11h59m20.62s,-06d31m04.3s,3459.0,0.38,0.37,4.7,2.01,0.1817
1218,K2-244 b,698.0,11.78,2018,Super Earth,21.1 days,0,K2-243,Transit,,0.0,12h04m29.14s,-04d53m57.1s,6570.0,1.29,1.39,3.71,1.75,0.1418
1219,K2-245 b,1512.0,12.212,2018,Neptune-like,11.9 days,0,K2-243,Transit,,0.0,12h04m29.14s,-04d53m57.1s,6570.0,1.29,1.39,17.4,0.387,0.0959
1220,K2-246 b,2359.0,14.55,2018,Neptune-like,5.8 days,0,K2-244,Transit,,0.0,12h13m52.54s,-03d49m54.7s,5677.0,0.86,0.92,12,0.311,0.0602
1221,K2-247 b,849.0,14.956,2018,Neptune-like,2.3 days,0,K2-245,Transit,,0.0,12h20m43.60s,-01d35m27.2s,5793.0,0.83,1.25,5.14,2.12,0.0304
1222,K2-247 c,849.0,14.956,2018,Neptune-like,6.5 days,0,K2-246,Transit,,0.0,12h06m31.13s,-01d09m38.0s,5610.0,0.87,0.94,5.43,2.19,0.0615
1223,K2-248 b,1339.0,13.402,2018,Neptune-like,7.2 days,0,K2-247,Transit,,0.0,12h35m34.49s,-10d04m09.2s,4667.0,0.74,0.69,7.13,0.229,0.0699
1224,K2-249 b,1723.0,11.827,2018,Neptune-like,12.4 days,0,K2-247,Transit,,0.0,12h35m34.49s,-10d04m09.2s,4667.0,0.74,0.69,8.2,0.249,0.1151
1225,K2-24 b,559.0,11.07,2016,Neptune-like,20.9 days,0.06,K2-248,Transit,,0.0,12h11m16.14s,-09d24m50.4s,5528.0,0.88,0.92,19,0.482,0.154
1226,K2-24 c,559.0,11.07,2016,Neptune-like,42.3 days,< 0.07,K2-249,Transit,,0.0,12h13m28.00s,-08d59m42.4s,6504.0,1.32,1.57,15.4,0.669,0.247
1227,K2-250 b,1362.0,14.267,2018,Neptune-like,4 days,0,K2-25,Transit,88.3,0.0,04h13m05.62s,+15d14m51.9s,3180.0,0.29,0.29,6.53,0.218,0.0459
1228,K2-251 b,482.0,15.621,2018,Neptune-like,9.3 days,0,K2-250,Transit,,0.0,12h20m07.62s,-08d58m32.8s,5172.0,0.8,0.81,6.12,0.21,0.0694
1229,K2-252 b,750.0,12.847,2018,Super Earth,13.8 days,0,K2-251,Transit,,0.0,12h42m45.41s,-08d32m09.3s,3717.0,0.52,0.49,3.68,1.74,0.1041
1230,K2-253 b,2942.0,14.868,2018,Gas Giant,4 days,0,K2-252,Transit,,0.0,12h09m27.93s,-08d18m34.3s,5152.0,0.79,0.82,0,1.13,0.0506
1231,K2-254 b,748.0,14.183,2018,Super Earth,4.1 days,0,K2-253,Transit,,0.0,12h24m20.50s,-06d22m44.0s,6027.0,1.08,1.1,3.29,1.63,0.0448
1232,K2-254 c,748.0,14.183,2018,Neptune-like,12.1 days,0,K2-254,Transit,,0.0,12h22m12.18s,-04d43m02.0s,4629.0,0.71,0.67,5.43,2.19,0.0923
1233,K2-255 b,628.0,13.755999999999998,2018,Neptune-like,2 days,0,K2-254,Transit,,0.0,12h22m12.18s,-04d43m02.0s,4629.0,0.71,0.67,8.75,0.259,0.0274
1234,K2-256 b,1894.0,14.939,2018,Neptune-like,5.5 days,0,K2-255,Transit,,0.0,12h39m39.12s,-03d22m14.0s,4676.0,0.71,0.69,7.41,0.235,0.0578
1235,K2-257 b,209.0,13.716,2018,Terrestrial,1.6 days,0,K2-256,Transit,,0.0,12h24m54.52s,-02d03m57.4s,5219.0,0.84,0.78,0.498,0.83,0.0216
1236,K2-258 b,2203.0,13.298,2018,Neptune-like,19.1 days,0,K2-257,Transit,,0.0,12h33m06.84s,-01d57m11.4s,3725.0,0.52,0.5,9.27,0.268,0.149
1237,K2-259 b,1377.0,12.536,2018,Neptune-like,15.5 days,0,K2-258,Transit,,0.0,12h30m31.52s,-01d09m39.3s,6351.0,1.21,1.31,5.99,0.207,0.1271
1238,K2-25 b,147.0,15.880999999999998,2015,Neptune-like,3.5 days,0.27,K2-259,Transit,,0.0,12h27m12.65s,+01d34m00.7s,6059.0,1.14,1.13,11.6,0.306,0
1239,K2-260 b,2206.0,12.689,2018,Gas Giant,2.6 days,0,K2-26,Transit,88.4,0.0,06h16m49.58s,+24d35m47.1s,3785.0,0.56,0.52,1.42,1.552,0.0404
1240,K2-261 b,700.0,10.612,2018,Gas Giant,11.6 days,0.39,K2-260,Transit,88.67,0.5,05h07m28.16s,+16d52m03.8s,6367.0,1.39,1.69,0.223,0.85,0.102
1241,K2-263 b,532.0,11.606,2018,Super Earth,50.8 days,< 0.14,K2-261,Transit,88.4,0.483,10h52m07.78s,+00d29m36.1s,5537.0,1.1,1.65,14.8,0.215,0.2573
1242,K2-264 b,610.0,15.662,2018,Neptune-like,5.8 days,< 0.5,K2-263,Transit,89.24,5.7,08h38m43.77s,+15d40m50.3s,5368.0,0.88,0.85,5.61,2.231,0.05023
1243,K2-264 c,610.0,15.662,2018,Neptune-like,19.7 days,< 0.45,K2-264,Transit,89.01,0.0,08h45m26.06s,+19d41m54.5s,3660.0,0.5,0.47,7.6,0.238,0.11283
1244,K2-265 b,454.0,11.102,2018,Super Earth,2.4 days,0.08,K2-264,Transit,89.38,0.0,08h45m26.06s,+19d41m54.5s,3660.0,0.5,0.47,6.54,1.71,0.03376
1245,K2-266 b,252.0,11.808,2018,Neptune-like,0.7 days,0,K2-265,Transit,87.7,7.1,22h48m07.57s,-14d29m40.9s,5477.0,0.92,0.98,11.26782,0.294,0.01306
1246,K2-266 c,252.0,11.808,2018,Terrestrial,7.8 days,0.04,K2-266,Transit,75.32,1.77,10h31m44.51s,+00d56m15.3s,4285.0,0.69,0.7,0.29013,0.705,0.0679
1247,K2-266 d,252.0,11.808,2018,Neptune-like,14.7 days,0.05,K2-266,Transit,88.28,4.51,10h31m44.51s,+00d56m15.3s,4285.0,0.69,0.7,8.9,0.261,0.1035
1248,K2-266 e,252.0,11.808,2018,Neptune-like,19.5 days,0.04,K2-266,Transit,89.46,2.03,10h31m44.51s,+00d56m15.3s,4285.0,0.69,0.7,14.3,0.244,0.1249
1249,K2-268 b,1081.0,13.853,2018,Super Earth,2.2 days,0,K2-266,Transit,89.45,2.21,10h31m44.51s,+00d56m15.3s,4285.0,0.69,0.7,2.57,1.41,0.0308
1250,K2-268 c,1081.0,13.853,2018,Neptune-like,9.3 days,0,K2-268,Transit,,0.0,08h54m50.29s,+11d50m53.8s,5068.0,0.84,0.78,7.7,0.24,0.0819
